;Date;AMD;CHGG;NVDA
0;12/10/2020;1.0;1.0;1.0
1;13/10/2020;1.0;1.0;1.0
2;14/10/2020;2.0;2.0;1.0
3;15/10/2020;2.0;1.0;1.0
4;16/10/2020;2.0;2.0;1.0
5;19/10/2020;2.0;1.0;1.0
6;20/10/2020;2.0;1.0;1.0
7;21/10/2020;2.0;2.0;1.0
8;22/10/2020;2.0;1.0;1.0
9;23/10/2020;1.0;1.0;1.0
10;26/10/2020;2.0;2.0;1.0
11;27/10/2020;2.0;2.0;1.0
12;28/10/2020;2.0;1.0;1.0
13;29/10/2020;1.0;2.0;1.0
14;30/10/2020;2.0;2.0;1.0
15;02/11/2020;2.0;2.0;1.0
16;03/11/2020;1.0;2.0;1.0
17;04/11/2020;1.0;1.0;1.0
18;05/11/2020;2.0;2.0;1.0
19;06/11/2020;1.0;1.0;1.0
20;09/11/2020;2.0;2.0;1.0
21;10/11/2020;2.0;2.0;1.0
22;11/11/2020;1.0;1.0;1.0
23;12/11/2020;1.0;1.0;1.0
24;13/11/2020;2.0;2.0;1.0
25;16/11/2020;1.0;1.0;1.0
26;17/11/2020;2.0;2.0;1.0
27;18/11/2020;2.0;1.0;1.0
28;19/11/2020;1.0;1.0;1.0
29;20/11/2020;2.0;1.0;1.0
30;23/11/2020;2.0;1.0;1.0
31;24/11/2020;2.0;2.0;1.0
32;25/11/2020;1.0;1.0;1.0
33;27/11/2020;2.0;1.0;1.0
34;30/11/2020;1.0;1.0;1.0
35;01/12/2020;1.0;2.0;1.0
36;02/12/2020;1.0;2.0;1.0
37;03/12/2020;2.0;1.0;1.0
38;04/12/2020;1.0;2.0;1.0
39;07/12/2020;2.0;1.0;1.0
40;08/12/2020;2.0;1.0;1.0
41;09/12/2020;2.0;2.0;1.0
42;10/12/2020;1.0;1.0;1.0
43;11/12/2020;1.0;1.0;1.0
44;14/12/2020;1.0;1.0;1.0
45;15/12/2020;1.0;1.0;1.0
46;16/12/2020;2.0;1.0;1.0
47;17/12/2020;2.0;2.0;1.0
48;18/12/2020;2.0;3.0;1.0
49;21/12/2020;2.0;1.0;1.0
50;22/12/2020;2.0;1.0;1.0
51;23/12/2020;2.0;2.0;1.0
52;24/12/2020;1.0;2.0;1.0
53;28/12/2020;2.0;2.0;1.0
54;29/12/2020;2.0;2.0;1.0
55;30/12/2020;1.0;1.0;1.0
56;31/12/2020;2.0;2.0;1.0
57;04/01/2021;1.0;2.0;1.0
58;05/01/2021;1.0;1.0;1.0
59;06/01/2021;2.0;1.0;1.0
60;07/01/2021;1.0;1.0;1.0
61;08/01/2021;2.0;1.0;1.0
62;11/01/2021;1.0;1.0;1.0
63;12/01/2021;2.0;1.0;1.0
64;13/01/2021;2.0;2.0;1.0
65;14/01/2021;2.0;1.0;1.0
66;15/01/2021;2.0;2.0;1.0
67;19/01/2021;2.0;1.0;1.0
68;20/01/2021;2.0;2.0;1.0
69;21/01/2021;1.0;2.0;1.0
70;22/01/2021;2.0;2.0;1.0
71;25/01/2021;2.0;2.0;1.0
72;26/01/2021;2.0;1.0;1.0
73;27/01/2021;2.0;2.0;1.0
74;28/01/2021;2.0;1.0;1.0
75;29/01/2021;2.0;2.0;1.0
76;01/02/2021;1.0;2.0;1.0
77;02/02/2021;1.0;1.0;1.0
78;03/02/2021;2.0;2.0;1.0
79;04/02/2021;2.0;1.0;1.0
80;05/02/2021;2.0;1.0;1.0
81;08/02/2021;1.0;2.0;1.0
82;09/02/2021;2.0;2.0;1.0
83;10/02/2021;1.0;1.0;1.0
84;11/02/2021;2.0;1.0;1.0
85;12/02/2021;1.0;1.0;1.0
86;16/02/2021;2.0;2.0;1.0
87;17/02/2021;2.0;2.0;1.0
88;18/02/2021;2.0;1.0;1.0
89;19/02/2021;2.0;1.0;1.0
90;22/02/2021;2.0;2.0;1.0
91;23/02/2021;1.0;2.0;1.0
92;24/02/2021;1.0;2.0;1.0
93;25/02/2021;2.0;2.0;1.0
94;26/02/2021;1.0;1.0;1.0
95;01/03/2021;1.0;1.0;1.0
96;02/03/2021;2.0;2.0;1.0
97;03/03/2021;2.0;2.0;1.0
98;04/03/2021;2.0;2.0;1.0
99;05/03/2021;2.0;2.0;1.0
100;08/03/2021;2.0;2.0;1.0
101;09/03/2021;1.0;1.0;1.0
102;10/03/2021;2.0;2.0;1.0
103;11/03/2021;1.0;1.0;1.0
104;12/03/2021;1.0;1.0;1.0
105;15/03/2021;1.0;1.0;1.0
106;16/03/2021;2.0;2.0;1.0
107;17/03/2021;1.0;1.0;1.0
108;18/03/2021;2.0;2.0;1.0
109;19/03/2021;1.0;1.0;1.0
110;22/03/2021;1.0;1.0;1.0
111;23/03/2021;2.0;2.0;1.0
112;24/03/2021;2.0;2.0;1.0
113;25/03/2021;1.0;1.0;1.0
114;26/03/2021;1.0;2.0;1.0
115;29/03/2021;1.0;2.0;1.0
116;30/03/2021;2.0;1.0;1.0
117;31/03/2021;1.0;1.0;1.0
118;01/04/2021;1.0;1.0;1.0
119;05/04/2021;2.0;2.0;1.0
120;06/04/2021;1.0;1.0;1.0
121;07/04/2021;1.0;2.0;1.0
122;08/04/2021;1.0;2.0;1.0
123;09/04/2021;2.0;1.0;1.0
124;12/04/2021;2.0;1.0;1.0
125;13/04/2021;1.0;1.0;1.0
126;14/04/2021;2.0;2.0;1.0
127;15/04/2021;1.0;1.0;1.0
128;16/04/2021;2.0;2.0;1.0
129;19/04/2021;2.0;2.0;1.0
130;20/04/2021;2.0;1.0;1.0
131;21/04/2021;1.0;1.0;1.0
132;22/04/2021;2.0;1.0;1.0
133;23/04/2021;1.0;2.0;1.0
134;26/04/2021;1.0;1.0;1.0
135;27/04/2021;2.0;2.0;1.0
136;28/04/2021;2.0;1.0;1.0
137;29/04/2021;2.0;2.0;1.0
138;30/04/2021;2.0;2.0;1.0
139;03/05/2021;2.0;2.0;1.0
140;04/05/2021;1.0;2.0;1.0
141;05/05/2021;2.0;1.0;1.0
142;06/05/2021;1.0;2.0;1.0
143;07/05/2021;1.0;2.0;1.0
144;10/05/2021;2.0;2.0;1.0
145;11/05/2021;1.0;1.0;1.0
146;12/05/2021;2.0;2.0;1.0
147;13/05/2021;2.0;2.0;1.0
148;14/05/2021;1.0;1.0;1.0
149;17/05/2021;1.0;2.0;1.0
150;18/05/2021;2.0;1.0;1.0
151;19/05/2021;1.0;2.0;1.0
152;20/05/2021;1.0;1.0;1.0
153;21/05/2021;2.0;2.0;1.0
154;24/05/2021;1.0;2.0;1.0
155;25/05/2021;1.0;1.0;1.0
156;26/05/2021;1.0;1.0;1.0
157;27/05/2021;1.0;1.0;1.0
158;28/05/2021;1.0;1.0;1.0
159;01/06/2021;2.0;2.0;1.0
160;02/06/2021;1.0;1.0;1.0
161;03/06/2021;2.0;2.0;1.0
162;04/06/2021;1.0;2.0;1.0
163;07/06/2021;2.0;1.0;1.0
164;08/06/2021;2.0;1.0;1.0
165;09/06/2021;2.0;2.0;1.0
166;10/06/2021;1.0;1.0;1.0
167;11/06/2021;2.0;1.0;1.0
168;14/06/2021;1.0;1.0;1.0
169;15/06/2021;2.0;2.0;1.0
170;16/06/2021;2.0;1.0;1.0
171;17/06/2021;1.0;1.0;1.0
172;18/06/2021;1.0;1.0;1.0
173;21/06/2021;2.0;1.0;1.0
174;22/06/2021;1.0;1.0;1.0
175;23/06/2021;2.0;1.0;1.0
176;24/06/2021;1.0;1.0;1.0
177;25/06/2021;2.0;2.0;1.0
178;28/06/2021;1.0;1.0;1.0
179;29/06/2021;1.0;1.0;1.0
180;30/06/2021;1.0;2.0;1.0
181;01/07/2021;2.0;1.0;1.0
182;02/07/2021;1.0;1.0;1.0
183;06/07/2021;2.0;1.0;1.0
184;07/07/2021;2.0;2.0;1.0
185;08/07/2021;1.0;1.0;1.0
186;09/07/2021;1.0;1.0;1.0
187;12/07/2021;2.0;2.0;1.0
188;13/07/2021;2.0;1.0;1.0
189;14/07/2021;2.0;2.0;1.0
190;15/07/2021;2.0;2.0;1.0
191;16/07/2021;2.0;2.0;1.0
192;19/07/2021;1.0;1.0;1.0
193;20/07/2021;1.0;1.0;1.0
194;21/07/2021;1.0;1.0;1.0
195;22/07/2021;1.0;1.0;1.0
196;23/07/2021;1.0;1.0;1.0
197;26/07/2021;2.0;2.0;1.0
198;27/07/2021;2.0;2.0;1.0
199;28/07/2021;1.0;1.0;1.0
200;29/07/2021;1.0;1.0;1.0
201;30/07/2021;1.0;2.0;1.0
202;02/08/2021;1.0;1.0;1.0
203;03/08/2021;1.0;2.0;1.0
204;04/08/2021;1.0;2.0;1.0
205;05/08/2021;2.0;2.0;1.0
206;06/08/2021;2.0;2.0;1.0
207;09/08/2021;2.0;2.0;1.0
208;10/08/2021;2.0;1.0;1.0
209;11/08/2021;1.0;2.0;1.0
210;12/08/2021;2.0;2.0;1.0
211;13/08/2021;1.0;1.0;1.0
212;16/08/2021;2.0;2.0;1.0
213;17/08/2021;1.0;1.0;1.0
214;18/08/2021;2.0;2.0;1.0
215;19/08/2021;1.0;2.0;1.0
216;20/08/2021;1.0;1.0;1.0
217;23/08/2021;1.0;1.0;1.0
218;24/08/2021;2.0;1.0;1.0
219;25/08/2021;1.0;2.0;1.0
220;26/08/2021;2.0;2.0;1.0
221;27/08/2021;1.0;1.0;1.0
222;30/08/2021;2.0;1.0;1.0
223;31/08/2021;2.0;1.0;1.0
224;01/09/2021;2.0;1.0;1.0
225;02/09/2021;2.0;1.0;1.0
226;03/09/2021;1.0;1.0;1.0
227;07/09/2021;2.0;2.0;1.0
228;08/09/2021;2.0;2.0;1.0
229;09/09/2021;2.0;1.0;1.0
230;10/09/2021;2.0;2.0;1.0
231;13/09/2021;2.0;2.0;1.0
232;14/09/2021;1.0;2.0;1.0
233;15/09/2021;2.0;2.0;1.0
234;16/09/2021;1.0;1.0;1.0
235;17/09/2021;2.0;1.0;1.0
236;20/09/2021;2.0;2.0;1.0
237;21/09/2021;1.0;1.0;1.0
238;22/09/2021;1.0;2.0;1.0
239;23/09/2021;1.0;1.0;1.0
240;24/09/2021;1.0;2.0;1.0
241;27/09/2021;1.0;1.0;1.0
242;28/09/2021;2.0;2.0;1.0
243;29/09/2021;2.0;2.0;1.0
244;30/09/2021;1.0;1.0;1.0
245;01/10/2021;2.0;1.0;1.0
246;04/10/2021;2.0;1.0;1.0
247;05/10/2021;1.0;1.0;1.0
248;06/10/2021;1.0;2.0;1.0
249;07/10/2021;1.0;2.0;1.0
250;08/10/2021;2.0;2.0;1.0